Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"Robinsonites run",2025-11-08,6.14,40.3,6:34/km,"No description",1.00,6:04,6:04/km,1.00,6:23,6:23/km,1.00,7:29,7:29/km,1.00,8:16,8:16/km,1.00,6:06,6:05/km,1.00,5:17,5:17/km,0.14,0:43,5:14/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ganga jews",2025-10-27,4.22,50.5,11:58/km,"No description",1.00,6:40,6:40/km,1.00,11:34,11:34/km,1.00,12:56,12:56/km,1.00,16:07,16:07/km,0.22,3:15,14:45/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Munnar Run",2025-10-23,6.19,47.7,7:42/km,"The Elevation really does get you",1.00,7:26,7:26/km,1.00,8:43,8:43/km,1.00,9:29,9:28/km,1.00,7:30,7:30/km,1.00,6:34,6:35/km,1.00,6:34,6:34/km,0.19,1:26,7:26/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Run-die rona",2025-10-18,7,40.1,5:44/km,"No description",1.00,4:53,4:53/km,1.00,6:53,6:53/km,1.00,6:06,6:06/km,1.00,6:14,6:14/km,1.00,2:24,2:24/km,1.00,7:41,7:41/km,1.00,5:56,5:56/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Couldnt finish a 5k ffs",2025-10-07,4.08,25.5,6:15/km,"No description",1.00,6:18,6:18/km,1.00,6:18,6:17/km,1.00,5:55,5:55/km,1.00,6:27,6:27/km,81.1,0:32,6:35/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Starting over?",2025-09-24,3.3,23.9,7:14/km,"No description",1.00,6:27,6:26/km,1.00,7:07,7:08/km,1.00,7:52,7:52/km,0.30,2:27,8:10/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mein nahi sehta",2025-09-17,4.59,74.5,16:14/km,"Idk about you, but personally i wouldn't let that slide",1.00,9:39,9:37/km,1.00,12:10,12:12/km,1.00,28:20,28:17/km,1.00,12:48,12:47/km,0.59,11:34,19:42/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"trusting the recovery",2025-09-14,5.07,37.4,7:22/km,"No description",1.00,6:58,6:58/km,1.00,6:54,6:54/km,1.00,6:33,6:31/km,1.00,10:27,10:30/km,1.00,6:03,6:03/km,68,0:28,6:52/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Independence Run with Moiz",2025-08-15,8.1,51.8,6:24/km,"Racecourse Run in the sand, ankles gone guys",1.00,6:19,6:19/km,1.00,6:35,6:35/km,1.00,5:45,5:46/km,1.00,5:49,5:49/km,1.00,6:01,6:01/km,1.00,7:02,7:03/km,1.00,6:55,6:55/km,1.00,6:45,6:44/km,94.9,0:38,6:40/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"was supposed to be an ez run😭😭😭",2025-08-09,5.04,28.9,5:43/km,"felt sick so I thought I'd run a simple easy 5k turns out not",1.00,6:13,6:13/km,1.00,6:02,6:02/km,1.00,5:35,5:35/km,1.00,5:18,5:17/km,1.00,5:35,5:35/km,37.8,0:08,3:32/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
